Address,African-American,American Indian,American Indian/Alaska Native,American Indian/Alaskan Native,Asian,Asian or Asian/Pacific Islander,Asian or Pacific Islander,Asian/Pacific Islander,Black,"Black, not Hispanic",City,Female,Filipino,FullState,Hawaiian Native/Pacific Islander,Hispanic,Lowincome,Male,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Native Hawaiian or Pacific Islander,Pacific Islander,Rate,School,SchoolLink,Score,State,StateOrder,Two or more races,Type,White,"White, not Hispanic",ZipCode,_id,location
359 State Street,,,1%,,2%,,,,39%,,Alexander City,48%,,alabama,<1%,5%,56%,52%,,,,,Average,Alexander City Middle School,/alabama/alexander-city/49-Alexander-City-Middle-School/,5,AL,88,<1%,Public district,54%,,35010,5e7b01be0c16a3618bfc3a98,"{'type': 'Point', 'coordinates': [-85.95083034069941, 32.94457373161894]}"
2525 Alexandria-Wellington Road,,,<1%,,1%,,,,11%,,Alexandria,45%,,alabama,<1%,2%,58%,55%,,,,,Average,Alexandria Elementary School,/alabama/alexandria/325-Alexandria-Elementary-School/,5,AL,89,<1%,Public district,85%,,36250,5e7b01be0c16a3618bfc3a99,"{'type': 'Point', 'coordinates': [-85.88213750421583, 33.77574451517562]}"
353 Stadium Drive,,,1%,,1%,,,,13%,,Alexandria,,,alabama,1%,4%,,,,,,,Below average,Alexandria High School,/alabama/alexandria/309-Alexandria-High-School/,4,AL,90,<1%,Public district,82%,,36250,5e7b01be0c16a3618bfc3a9a,"{'type': 'Point', 'coordinates': [-85.886374, 33.77620058730159]}"
353 Stadium Drive,,,1%,,1%,,,,14%,,Alexandria,,,alabama,1%,3%,,,,,,,Average,Alexandria Middle School,/alabama/alexandria/4272-Alexandria-Middle-School/,6,AL,91,<1%,Public district,81%,,36250,5e7b01be0c16a3618bfc3a9b,"{'type': 'Point', 'coordinates': [-85.886374, 33.77620058730159]}"
2120 E So Blvd,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,Alfa Child Care Dev Center,/alabama/montgomery/3106-Alfa-Child-Care-Dev-Center/,-1,AL,92,,Private,,,36116,5e7b01be0c16a3618bfc3a9c,
2120 East South Boulevard,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,Alfa Child Development Center,/alabama/montgomery/3161-Alfa-Child-Development-Center/,-1,AL,93,,Private,,,36116,5e7b01be0c16a3618bfc3a9d,"{'type': 'Point', 'coordinates': [-86.2762811, 32.3270098]}"
800 Columbus Road,,,<1%,,<1%,,,,96%,,Aliceville,,,alabama,<1%,2%,,,,,,,Below average,Aliceville Elementary School,/alabama/aliceville/1229-Aliceville-Elementary-School/,2,AL,94,1%,Public district,1%,,35442,5e7b01be0c16a3618bfc3a9e,"{'type': 'Point', 'coordinates': [-88.15546074316428, 33.13532685]}"
417 3rd Street Southeast,,,<1%,,<1%,,,,100%,,Aliceville,,,alabama,<1%,<1%,,,,,,,Above average,Aliceville High School,/alabama/aliceville/1230-Aliceville-High-School/,7,AL,95,<1%,Public district,<1%,,35442,5e7b01be0c16a3618bfc3a9f,"{'type': 'Point', 'coordinates': [-88.14841128630064, 33.119599082423335]}"
1000 Columbus Road,,,<1%,,<1%,,,,97%,,Aliceville,43%,,alabama,<1%,<1%,95%,57%,,,,,Below average,Aliceville Middle School,/alabama/aliceville/1231-Aliceville-Middle-School/,2,AL,96,1%,Public district,1%,,35442,5e7b01be0c16a3618bfc3aa0,"{'type': 'Point', 'coordinates': [-88.209291, 33.17694]}"
1849 Lee Street,,,,,,,,,,,Rogersville,,,alabama,,,,,,,,,Currently unrated,All About Me Day Care,/alabama/rogersville/3316-All-About-Me-Day-Care/,-1,AL,97,,Private,,,35652,5e7b01be0c16a3618bfc3aa1,"{'type': 'Point', 'coordinates': [-87.287791, 34.824447]}"
Po Box 639d,,,,,,,,,,,Sumiton,,,alabama,,,,,,,,,Currently unrated,All God's Children Learning Center,/alabama/sumiton/3375-All-Gods-Children-Learning-Center/,-1,AL,98,,Private,,,35148,5e7b01be0c16a3618bfc3aa2,
2016 Harris Street,,,,,,,,,,,Atmore,,,alabama,,,,,,,,,Currently unrated,All Of God's Chldrn Learning Center,/alabama/atmore/4137-All-Of-Gods-Chldrn-Learning-Center/,-1,AL,99,,Private,,,36502,5e7b01be0c16a3618bfc3aa3,"{'type': 'Point', 'coordinates': [-87.48408420800182, 31.0445262125484]}"
112 West Hawthorne Road,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,All Saints Episcopal Pre-School,/alabama/birmingham/3786-All-Saints-Episcopal-Pre-School/,-1,AL,100,,Private,,,35209,5e7b01be0c16a3618bfc3aa4,
112 W. Hawthorne Road,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,All Saints' Episcopal Preschool,/alabama/birmingham/1581-All-Saints-Episcopal-Preschool/,-1,AL,101,,Private,,,35209,5e7b01be0c16a3618bfc3aa5,
150 Glenwood Lane,,,<1%,,,3%,,,54%,,Birmingham,,,alabama,<1%,<1%,,,,,,,Currently unrated,Allan Cott School,/alabama/birmingham/3709-Allan-Cott-School/,-1,AL,102,<1%,Private,43%,,35242,5e7b01be0c16a3618bfc3aa6,"{'type': 'Point', 'coordinates': [-86.66055048571356, 33.482509989912494]}"
7275 U.S. 72,,,,,,,,,,,Killen,,,alabama,,,,,,,,,Currently unrated,Allen Thornton Career Tech Center,/alabama/killen/863-Allen-Thornton-Career-Tech-Center/,-1,AL,103,,Public district,,,35645,5e7b01be0c16a3618bfc3aa7,
10330 Howells Ferry Road,,,<1%,,1%,,,,20%,,Semmes,,,alabama,<1%,6%,,,,,,,Average,Allentown Elementary School,/alabama/semmes/977-Allentown-Elementary-School/,6,AL,104,3%,Public district,70%,,36575,5e7b01be0c16a3618bfc3aa8,"{'type': 'Point', 'coordinates': [-88.28615396978547, 30.745299127632112]}"
45 Community Road,,,,,,,,,,,Oneonta,,,alabama,,,,,,,,,Currently unrated,Allgood Alt School,/alabama/oneonta/290-Allgood-Alt-School/,-1,AL,105,,Public district,,,35121,5e7b01be0c16a3618bfc3aa9,
719 South Allen Avenue,,,,,,,,,,,Anniston,,,alabama,,,,,,,,,Currently unrated,Allynn's Wonderland Christian Academy,/alabama/anniston/2341-Allynns-Wonderland-Christian-Academy/,-1,AL,106,,Private,,,36207,5e7b01be0c16a3618bfc3aaa,"{'type': 'Point', 'coordinates': [-85.820736, 33.63844008163265]}"
14001 Hurricane Boulevard,,,1%,,7%,,,,11%,,Irvington,48%,,alabama,<1%,4%,61%,52%,,,,,Below average,Alma Bryant High School,/alabama/irvington/1050-Alma-Bryant-High-School/,2,AL,107,3%,Public district,75%,,36544,5e7b01be0c16a3618bfc3aab,
1695 E University Dr,,,,,,,,,,,Auburn,,,alabama,,,,,,,,,Currently unrated,Almost Angels Child Care Center,/alabama/auburn/2383-Almost-Angels-Child-Care-Center/,-1,AL,108,,Private,,,36830,5e7b01be0c16a3618bfc3aac,"{'type': 'Point', 'coordinates': [-85.4477085, 32.619159999999994]}"
2420 S Shelton Beach Road,,,,,,,,,,,Eight Mile,,,alabama,,,,,,,,,Currently unrated,Alpha and Omega Christian School,/alabama/eight-mile/2274-Alpha-And-Omega-Christian-School/,-1,AL,109,,Private,,,36613,5e7b01be0c16a3618bfc3aad,"{'type': 'Point', 'coordinates': [-88.1376021047876, 30.75654891075891]}"
1562 Ann Street,,,,,,,,,,,Montgomery,,,alabama,,,,,,,,,Currently unrated,Alpha And Omega Learning Center,/alabama/montgomery/1956-Alpha-And-Omega-Learning-Center/,-1,AL,110,,Private,,,36107,5e7b01be0c16a3618bfc3aae,"{'type': 'Point', 'coordinates': [-86.27145585430333, 32.36184937023586]}"
8327 Highway 17,,,,,,,,,,,Maylene,,,alabama,,,,,,,,,Currently unrated,Alpha Bits Academy Day Care,/alabama/maylene/4101-Alpha-Bits-Academy-Day-Care/,-1,AL,111,,Private,,,35114,5e7b01be0c16a3618bfc3aaf,
1071 Dunsmore Drive,,,,,,,,,,,Chelsea,,,alabama,,,,,,,,,Currently unrated,Alphabet Academy Pre-School,/alabama/chelsea/4083-Alphabet-Academy-Pre-School/,-1,AL,112,,Private,,,35043,5e7b01be0c16a3618bfc3ab0,"{'type': 'Point', 'coordinates': [-86.5843679098928, 33.34401050026755]}"
816 Earline St,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Alphabet Learning Center,/alabama/birmingham/2552-Alphabet-Learning-Center/,-1,AL,113,,Private,,,35215,5e7b01be0c16a3618bfc3ab1,"{'type': 'Point', 'coordinates': [-86.67026268512771, 33.62251952733731]}"
401 Martin Street,,,,,,,,,,,Ozark,,,alabama,,,,,,,,,Currently unrated,Alt Learning Center,/alabama/ozark/1205-Alt-Learning-Center/,-1,AL,114,,Public district,,,36360,5e7b01be0c16a3618bfc3ab2,"{'type': 'Point', 'coordinates': [-85.63609652173913, 31.45558833695652]}"
91 Poorhouse Road,,,,,,,,,,,Seale,,,alabama,,,,,,,,,Currently unrated,Alt Learning Center,/alabama/seale/1264-Alt-Learning-Center/,-1,AL,115,,Public district,,,36875,5e7b01be0c16a3618bfc3ab3,"{'type': 'Point', 'coordinates': [-85.17023420074577, 32.3130308046808]}"
211 Lake Avenue,,,,,,,,,,,Troy,,,alabama,,,,,,,,,Currently unrated,Alt Learning Center,/alabama/troy/1402-Alt-Learning-Center/,-1,AL,116,,Public district,,,36081,5e7b01be0c16a3618bfc3ab4,"{'type': 'Point', 'coordinates': [-85.96171852072848, 31.813408847927153]}"
155 20th Street Northeast,,,,,,,,,,,Fort Payne,,,alabama,,,,,,,,,Currently unrated,Alt School,/alabama/fort-payne/495-Alt-School/,-1,AL,117,,Public district,,,35967,5e7b01be0c16a3618bfc3ab5,"{'type': 'Point', 'coordinates': [-85.70265304081632, 34.45960495918367]}"
2305 Old Alton Rd,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Alton Church of God of Prophec,/alabama/birmingham/2036-Alton-Church-Of-God-Of-Prophec/,-1,AL,118,,Private,,,35210,5e7b01be0c16a3618bfc3ab6,"{'type': 'Point', 'coordinates': [-86.64585877479702, 33.56846592171452]}"
Coates St,,,,,,,,,99%,,Thomaston,,,alabama,,,,,,,,,Below average,Amelia L. Johnson High School,/alabama/thomaston/958-Amelia-L.-Johnson-High-School/,2,AL,119,,Public district,1%,,36783,5e7b01be0c16a3618bfc3ab7,
2300 Veterans Memorial Parkway,,,<1%,,,<1%,,,2%,,Tuscaloosa,,,alabama,<1%,<1%,,,,,,,Currently unrated,American Christian Academy,/alabama/tuscaloosa/1701-American-Christian-Academy/,-1,AL,120,<1%,Private,97%,,35404,5e7b01be0c16a3618bfc3ab8,"{'type': 'Point', 'coordinates': [-87.4868381, 33.1953148]}"
103 West Martin Luther King Highway,,,,,,,,,,,Tuskegee,,,alabama,,,,,,,,,Currently unrated,American Legion Head Start,/alabama/tuskegee/4042-American-Legion-Head-Start/,-1,AL,121,,Private,,,36083,5e7b01be0c16a3618bfc3ab9,"{'type': 'Point', 'coordinates': [-85.69134747805086, 32.42300708674484]}"
501 South School Street,,,,,,,,,,,Tuskegee,,,alabama,,,,,,,,,Currently unrated,American Legion Head Start Center,/alabama/tuskegee/3466-American-Legion-Head-Start-Center/,-1,AL,122,,Private,,,36083,5e7b01be0c16a3618bfc3aba,"{'type': 'Point', 'coordinates': [-85.685147, 32.420776]}"
1501 Western Bypass,,,<1%,,1%,,,,30%,,Andalusia,49%,,alabama,<1%,3%,59%,51%,,,,,Average,Andalusia Elementary School,/alabama/andalusia/1876-Andalusia-Elementary-School/,5,AL,123,4%,Public district,62%,,36420,5e7b01be0c16a3618bfc3abb,"{'type': 'Point', 'coordinates': [-86.5002894, 31.2966826]}"
Po Box 726,,,,,,,,,,,Andalusia,,,alabama,,,,,,,,,Currently unrated,Andalusia Head Start,/alabama/andalusia/3785-Andalusia-Head-Start/,-1,AL,124,,Private,,,36420,5e7b01be0c16a3618bfc3abc,
701 3rd Street,,,<1%,,2%,,,,30%,,Andalusia,,,alabama,<1%,2%,,,,,,,Above average,Andalusia High School,/alabama/andalusia/56-Andalusia-High-School/,9,AL,125,1%,Public district,65%,,36420,5e7b01be0c16a3618bfc3abd,"{'type': 'Point', 'coordinates': [-86.506932, 31.32561]}"
408 4th Avenue,,,<1%,,3%,,,,30%,,Andalusia,,,alabama,<1%,3%,,,,,,,Average,Andalusia Middle School,/alabama/andalusia/57-Andalusia-Middle-School/,6,AL,126,1%,Public district,64%,,36420,5e7b01be0c16a3618bfc3abe,"{'type': 'Point', 'coordinates': [-86.47257314285714, 31.313811142857144]}"
533 W Grand Ave,,,,,,,,,,,Rainbow City,,,alabama,,,,,,,,,Currently unrated,Angel Care Pre-School & Nursery,/alabama/rainbow-city/3294-Angel-Care-Pre-School--Nursery/,-1,AL,127,,Private,,,35906,5e7b01be0c16a3618bfc3abf,"{'type': 'Point', 'coordinates': [-86.04715634211001, 33.966846247454335]}"
1903 Bear Fork Rd,,,,,,,,,,,Chickasaw,,,alabama,,,,,,,,,Currently unrated,Angel on Board Christian Child Care Center,/alabama/chickasaw/3515-Angel-On-Board-Christian-Child-Care-Center/,-1,AL,128,,Private,,,36612,5e7b01be0c16a3618bfc3ac0,
100 Lakeside Drive,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,Angel's Child Care Center,/alabama/dothan/3847-Angels-Child-Care-Center/,-1,AL,129,,Private,,,36301,5e7b01be0c16a3618bfc3ac1,"{'type': 'Point', 'coordinates': [-85.34612, 31.193916]}"
166 Meaher St,,,,,,,,,,,Mobile,,,alabama,,,,,,,,,Currently unrated,Angela Davis Christian Academy,/alabama/mobile/2037-Angela-Davis-Christian-Academy/,-1,AL,130,,Private,,,36610,5e7b01be0c16a3618bfc3ac2,"{'type': 'Point', 'coordinates': [-88.08039616216435, 30.73506723857975]}"
1041 South Park Avenue,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,Angels Academy,/alabama/dothan/2684-Angels-Academy/,-1,AL,131,,Private,,,36301,5e7b01be0c16a3618bfc3ac3,"{'type': 'Point', 'coordinates': [-85.40928520422536, 31.214377330985915]}"
5700 5th St S,,,,,,,,,,,Bessemer,,,alabama,,,,,,,,,Currently unrated,Angels in the Sky Day Care,/alabama/bessemer/2412-Angels-In-The-Sky-Day-Care/,-1,AL,132,,Private,,,35020,5e7b01be0c16a3618bfc3ac4,
3121 Cleburn Ave SW,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Ann's Development Learning Center,/alabama/birmingham/2496-Anns-Development-Learning-Center/,-1,AL,133,,Private,,,35211,5e7b01be0c16a3618bfc3ac5,"{'type': 'Point', 'coordinates': [-86.88353290434644, 33.468954153705226]}"
1100 W. Jackson,,,,,,,,,,,Demopolis,,,alabama,,,,,,,,,Currently unrated,Ann's Learning Center,/alabama/demopolis/1752-Anns-Learning-Center/,-1,AL,134,,Private,,,36732,5e7b01be0c16a3618bfc3ac6,
17001 Hurricane Boulevard,,,<1%,,12%,,,,11%,,Irvington,48%,,alabama,<1%,3%,77%,52%,,,,,Above average,Anna F Booth Elementary School,/alabama/irvington/1068-Anna-F-Booth-Elementary-School/,9,AL,135,4%,Public district,70%,,36544,5e7b01be0c16a3618bfc3ac7,
1301 Woodstock Avenue,,,<1%,,<1%,,,,91%,,Anniston,48%,,alabama,<1%,5%,86%,52%,,,,,Below average,Anniston High School,/alabama/anniston/60-Anniston-High-School/,2,AL,136,1%,Public district,3%,,36207,5e7b01be0c16a3618bfc3ac8,"{'type': 'Point', 'coordinates': [-85.8202772080338, 33.66204835]}"
4800 McClellan Boulevard,,,<1%,,<1%,,,,91%,,Anniston,49%,,alabama,<1%,3%,91%,51%,,,,,Below average,Anniston Middle School,/alabama/anniston/68-Anniston-Middle-School/,2,AL,137,<1%,Public district,6%,,36206,5e7b01be0c16a3618bfc3ac9,"{'type': 'Point', 'coordinates': [-85.82107154198472, 33.708958671755724]}"
2316 11th Ave No,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Aoh Christian School,/alabama/birmingham/1799-Aoh-Christian-School/,-1,AL,138,,Private,,,35234,5e7b01be0c16a3618bfc3aca,"{'type': 'Point', 'coordinates': [-86.935012, 33.501599]}"
15284 Hastings Road,,,,,,,,,,,Athens,,,alabama,,,,,,,,,Currently unrated,Apostolic Christian Pre-School,/alabama/athens/2362-Apostolic-Christian-Pre-School/,-1,AL,139,,Private,,,35613,5e7b01be0c16a3618bfc3acb,"{'type': 'Point', 'coordinates': [-86.917051, 34.783775]}"
1133 Tuscaloosa Avenue SW,,,,,,,,,,,Birmingham,,,alabama,,,,,,,,,Currently unrated,Apostolic Church of Promise Christian School,/alabama/birmingham/2267-Apostolic-Church-Of-Promise-Christian-School/,-1,AL,140,,Private,,,35211,5e7b01be0c16a3618bfc3acc,"{'type': 'Point', 'coordinates': [-86.85071193333333, 33.49485886666667]}"
350 County Highway 12,,,<1%,,<1%,,,,1%,,Oneonta,51%,,alabama,<1%,22%,58%,49%,,,,,Average,Appalachian School,/alabama/oneonta/281-Appalachian-School/,5,AL,141,<1%,Public district,77%,,35121,5e7b01be0c16a3618bfc3acd,
4602 Limon Street Northwest,,,,,,,,,,,Huntsville,,,alabama,,,,,,,,,Currently unrated,Apple Book Childrens School,/alabama/huntsville/3876-Apple-Book-Childrens-School/,-1,AL,142,,Private,,,35810,5e7b01be0c16a3618bfc3ace,"{'type': 'Point', 'coordinates': [-86.63017563265305, 34.76225114285714]}"
3102 South Railroad Street,,,,,,,,,,,Phenix City,,,alabama,,,,,,,,,Currently unrated,Apple Of His Eye Child Care Center,/alabama/phenix-city/4081-Apple-Of-His-Eye-Child-Care-Center/,-1,AL,143,,Private,,,36867,5e7b01be0c16a3618bfc3acf,"{'type': 'Point', 'coordinates': [-85.03324840697364, 32.49192803972584]}"
2223 5th Avenue South,,,,,,,,,,,Irondale,,,alabama,,,,,,,,,Currently unrated,Apple Tree Day Care,/alabama/irondale/2926-Apple-Tree-Day-Care/,-1,AL,144,,Private,,,35210,5e7b01be0c16a3618bfc3ad0,"{'type': 'Point', 'coordinates': [-86.70152195821845, 33.5366702479401]}"
3529 Central Parkway Southwest,,,,,,,,,,,Decatur,,,alabama,,,,,,,,,Currently unrated,Appletree Academy,/alabama/decatur/4074-Appletree-Academy/,-1,AL,145,,Private,,,35603,5e7b01be0c16a3618bfc3ad1,"{'type': 'Point', 'coordinates': [-86.98254304936023, 34.54030008590057]}"
9 Meadow Lane,,,,,,,,,,,Decatur,,,alabama,,,,,,,,,Currently unrated,Appletree Academy Ii Dcc,/alabama/decatur/4001-Appletree-Academy-Ii-Dcc/,-1,AL,146,,Private,,,35603,5e7b01be0c16a3618bfc3ad2,"{'type': 'Point', 'coordinates': [-87.31085011634534, 34.83351438918694]}"
4215 Highway 72 East,,,,,,,,,,,Brownsboro,,,alabama,,,,,,,,,Currently unrated,Appletree Child Development Center,/alabama/brownsboro/4122-Appletree-Child-Development-Center/,-1,AL,147,,Private,,,35741,5e7b01be0c16a3618bfc3ad3,
241 8th Avenue Northeast,,,<1%,,1%,,,,<1%,,Arab,48%,,alabama,<1%,2%,38%,52%,,,,,Above average,Arab Elementary School,/alabama/arab/70-Arab-Elementary-School/,8,AL,148,2%,Public district,94%,,35016,5e7b01be0c16a3618bfc3ad4,"{'type': 'Point', 'coordinates': [-86.49336869183675, 34.328628689209225]}"
511 Arabian Drive Northeast,,,1%,,1%,,,,<1%,,Arab,48%,,alabama,<1%,3%,27%,52%,,,,,Above average,Arab High School,/alabama/arab/73-Arab-High-School/,8,AL,149,1%,Public district,94%,,35016,5e7b01be0c16a3618bfc3ad5,"{'type': 'Point', 'coordinates': [-86.4880962644142, 34.32779651739793]}"
911 Old Cullman Road Southwest,,,<1%,,<1%,,,,<1%,,Arab,48%,,alabama,<1%,2%,39%,52%,,,,,Above average,Arab Jr High School,/alabama/arab/72-Arab-Jr-High-School/,9,AL,150,1%,Public district,97%,,35016,5e7b01be0c16a3618bfc3ad6,"{'type': 'Point', 'coordinates': [-86.50864408015953, 34.313550638007925]}"
414 2nd Avenue Northwest,,,,,,,,,,,Arab,,,alabama,,,,,,,,,Currently unrated,Arab Kids Kollege,/alabama/arab/2348-Arab-Kids-Kollege/,-1,AL,151,,Private,,,35016,5e7b01be0c16a3618bfc3ad7,"{'type': 'Point', 'coordinates': [-86.5004737639869, 34.319575462226055]}"
121 Mimosa Street Northeast,,,<1%,,<1%,,,,<1%,,Arab,49%,,alabama,<1%,3%,34%,51%,,,,,Currently unrated,Arab Primary School,/alabama/arab/71-Arab-Primary-School/,-1,AL,152,1%,Public district,95%,,35016,5e7b01be0c16a3618bfc3ad8,"{'type': 'Point', 'coordinates': [-86.497864, 34.334359]}"
3740 Arcadia Drive,,,3%,,2%,,,,55%,,Tuscaloosa,52%,,alabama,1%,8%,54%,48%,,,,,Below average,Arcadia Elementary School,/alabama/tuscaloosa/1411-Arcadia-Elementary-School/,3,AL,153,2%,Public district,30%,,35404,5e7b01be0c16a3618bfc3ad9,"{'type': 'Point', 'coordinates': [-87.48761882156586, 33.198254417287075]}"
30285 Ardmore Avenue,,,1%,,1%,,,,1%,,Ardmore,46%,,alabama,<1%,6%,40%,54%,,,,,Above average,Ardmore High School,/alabama/ardmore/903-Ardmore-High-School/,7,AL,154,1%,Public district,91%,,35739,5e7b01be0c16a3618bfc3ada,"{'type': 'Point', 'coordinates': [-86.84780671578116, 34.988212250000004]}"
264 Creel Richardson Street,,,<1%,,1%,,,,11%,,Ariton,46%,,alabama,<1%,7%,52%,54%,,,,,Above average,Ariton School,/alabama/ariton/459-Ariton-School/,8,AL,155,1%,Public district,80%,,36311,5e7b01be0c16a3618bfc3adb,"{'type': 'Point', 'coordinates': [-85.72312, 31.602247]}"
1312 22nd Street South,,,<1%,,,<1%,,,5%,,Birmingham,,,alabama,<1%,<1%,,,,,,,Currently unrated,Arlington School,/alabama/birmingham/2046-Arlington-School/,-1,AL,156,10%,Private,85%,,35205,5e7b01be0c16a3618bfc3adc,"{'type': 'Point', 'coordinates': [-86.78828359183673, 33.49964620408163]}"
2101 Jefferson Avenue Southwest,,,<1%,,<1%,,,,94%,,Birmingham,,,alabama,<1%,5%,,,,,,,Below average,Arrington Middle School,/alabama/birmingham/270-Arrington-Middle-School/,1,AL,157,<1%,Public district,1%,,35211,5e7b01be0c16a3618bfc3add,"{'type': 'Point', 'coordinates': [-86.87041873061943, 33.47632623735415]}"
1966 Asbury Road,,,<1%,,<1%,,,,1%,,Albertville,,,alabama,<1%,41%,,,,,,,Below average,Asbury Elementary School,/alabama/albertville/3767-Asbury-Elementary-School/,3,AL,158,1%,Public district,57%,,35951,5e7b01be0c16a3618bfc3ade,
2700 Martling Gap Road,,,,,,,,,,,Albertville,,,alabama,,,,,,,,,Currently unrated,Asbury Head Start,/alabama/albertville/3859-Asbury-Head-Start/,-1,AL,159,,Private,,,35951,5e7b01be0c16a3618bfc3adf,
1990 Asbury Road,,,<1%,,<1%,,,,1%,,Albertville,46%,,alabama,<1%,40%,84%,54%,,,,,Average,Asbury School,/alabama/albertville/13-Asbury-School/,5,AL,160,<1%,Public district,58%,,35951,5e7b01be0c16a3618bfc3ae0,
1912 Canyon Road,,,<1%,,,<1%,,,<1%,,Vestavia Hills,,,alabama,<1%,<1%,,,,,,,Currently unrated,Ascension Episcopal Kindergarten,/alabama/vestavia-hills/1955-Ascension-Episcopal-Kindergarten/,-1,AL,161,<1%,Private,100%,,35216,5e7b01be0c16a3618bfc3ae1,"{'type': 'Point', 'coordinates': [-86.79569339712427, 33.44424013422102]}"
3801 Oakwood Avenue Northwest,,,,,,,,,,,Huntsville,,,alabama,,,,,,,,,Currently unrated,Ascension Lutheran Ps And Cdc,/alabama/huntsville/2907-Ascension-Lutheran-Ps-And-Cdc/,-1,AL,162,,Private,,,35810,5e7b01be0c16a3618bfc3ae2,"{'type': 'Point', 'coordinates': [-86.626312, 34.749407]}"
545 West Main Street #404,,,,,,,,,,,Dothan,,,alabama,,,,,,,,,Currently unrated,Asfsc Early Head Start,/alabama/dothan/2708-Asfsc-Early-Head-Start/,-1,AL,163,,Private,,,36301,5e7b01be0c16a3618bfc3ae3,"{'type': 'Point', 'coordinates': [-85.39930780480329, 31.224930154230876]}"
1100 N Broadway St,,,<1%,,,<1%,,,1%,,Ashford,,,alabama,<1%,<1%,,,,,,,Currently unrated,Ashford Academy,/alabama/ashford/1641-Ashford-Academy/,-1,AL,164,<1%,Private,99%,,36312,5e7b01be0c16a3618bfc3ae4,"{'type': 'Point', 'coordinates': [-85.233364, 31.198045]}"
100 Barfield Street,,,<1%,,<1%,,,,23%,,Ashford,43%,,alabama,<1%,2%,63%,57%,,,,,Average,Ashford Elementary School,/alabama/ashford/716-Ashford-Elementary-School/,5,AL,165,3%,Public district,71%,,36312,5e7b01be0c16a3618bfc3ae5,"{'type': 'Point', 'coordinates': [-85.22864, 31.178363]}"
607 Church Street,,,<1%,,1%,,,,22%,,Ashford,51%,,alabama,<1%,2%,56%,49%,,,,,Average,Ashford High School,/alabama/ashford/708-Ashford-High-School/,5,AL,166,2%,Public district,73%,,36312,5e7b01be0c16a3618bfc3ae6,"{'type': 'Point', 'coordinates': [-85.23011221093506, 31.18313382626372]}"
223 3rd Street Southwest,,,<1%,,<1%,,,,16%,,Ashland,49%,,alabama,<1%,3%,69%,51%,,,,,Average,Ashland Elementary School,/alabama/ashland/372-Ashland-Elementary-School/,5,AL,167,3%,Public district,77%,,36251,5e7b01be0c16a3618bfc3ae7,"{'type': 'Point', 'coordinates': [-85.83905251802284, 33.27240027838401]}"
725 2nd Street Northwest,,,,,,,,,,,Ashland,,,alabama,,,,,,,,,Currently unrated,Ashland Head Start Center,/alabama/ashland/2356-Ashland-Head-Start-Center/,-1,AL,168,,Private,,,36251,5e7b01be0c16a3618bfc3ae8,"{'type': 'Point', 'coordinates': [-85.83632, 33.283068]}"
33225 U.S. 231,,,2%,,<1%,,,,7%,,Ashville,,,alabama,1%,11%,,,,,,,Above average,Ashville Elementary School,/alabama/ashville/1340-Ashville-Elementary-School/,8,AL,169,1%,Public district,79%,,35953,5e7b01be0c16a3618bfc3ae9,
33215 U.S. 231,,,<1%,,1%,,,,6%,,Ashville,,,alabama,<1%,11%,,,,,,,Above average,Ashville High School,/alabama/ashville/1332-Ashville-High-School/,7,AL,170,1%,Public district,81%,,35953,5e7b01be0c16a3618bfc3aea,
33221 U.S. 231,,,1%,,<1%,,,,9%,,Ashville,,,alabama,<1%,16%,,,,,,,Average,Ashville Middle School,/alabama/ashville/1328-Ashville-Middle-School/,6,AL,171,2%,Public district,72%,,35953,5e7b01be0c16a3618bfc3aeb,
507 Hoffman Street,,,<1%,,,1%,,,2%,,Athens,,,alabama,<1%,1%,,,,,,,Currently unrated,Athens Bible School,/alabama/athens/1588-Athens-Bible-School/,-1,AL,172,2%,Private,93%,,35611,5e7b01be0c16a3618bfc3aec,"{'type': 'Point', 'coordinates': [-86.9554234403018, 34.79759035]}"
515 North Madison Street,,,1%,,<1%,,,,22%,,Athens,50%,,alabama,<1%,28%,61%,50%,,,,,Below average,Athens Elementary School,/alabama/athens/75-Athens-Elementary-School/,4,AL,173,7%,Public district,41%,,35611,5e7b01be0c16a3618bfc3aed,"{'type': 'Point', 'coordinates': [-86.97311004040404, 34.808092141414136]}"
100 U.S. 31,,,1%,,2%,,,,22%,,Athens,,,alabama,<1%,16%,,,,,,,Above average,Athens High School,/alabama/athens/76-Athens-High-School/,8,AL,174,5%,Public district,54%,,35613,5e7b01be0c16a3618bfc3aee,"{'type': 'Point', 'coordinates': [-86.93367948076923, 34.727284]}"
