"MLS #","#Pics","Pics","VirTr","Status","Address","Price","DOM","Lot (SqFt)","City","Class","Age","Property Type","$/SqFt","1/4 Baths","3/4 Baths","Address 2","Annual Rent","Annual Salary","Annual Tax Amount","Area","Area #","Beds","Building Name","Building Number","Building Unit Total","Capitalization Rate","Cash To Assume","City Limits (Y/N)","City Transfer Tax?","Country","County","Days On Market","Current Rent","Date Available","County ID","Elementary School District","Elementary School","Half Baths","High School","High School District","HOA Document Fee","HOA Exist Y/N","HOA Fee","HOA Fee Frequency","HOA Name Text","Lot Acres","Lot Size Area Max Search","Lot Size Area Maximum Units","Lot Size Area Min Search","Lot Size Source","LotSize SqFt County","Max # of Units in Building","Max # of Units in Complex","Middle School","PriceRangeLow","Rent List Price","Sale Price","Sale Price Per SqFt","State","Yard SqFt","Year Built","Zip Code"
"ML81841473","33","https://mlslmedia.azureedge.net/property/MLSL/81841473/d6be1fffda7c4d66a578c045158694ca/2/1?preset=thumb","http://www.630fantailway701.com","A","630 Fan Tail Way 701","$1,125,000","0","1,912","Redwood City","RE","8","Townhouse","$765.31",,,,,,,"Lenolt Etc.","331","2",,,,,,"Yes","Yes",,"San Mateo","1",,,"41","Redwood City Elementary","Taft Elementary","1","Sequoia High","Sequoia Union High",,"Yes","$314","Monthly","The Manor","0.0439",,"Square Feet",,"Tax","1,912.00",,,"John F. Kennedy Middle",,,,,"CA",,"2013","94063"
"ML81841476","27","https://mlslmedia.azureedge.net/property/MLSL/81841476/20ffed6338844014bfaf94d1525c0c9e/2/1?preset=thumb","http://www.80parcplacedr.com","A","80 Parc Place Drive","$899,000","0","528","Milpitas","RE","16","Townhouse","$587.58",,,,,,,"Milpitas","6","3",,,,,,"Yes","No",,"Santa Clara","1",,,"43","Milpitas Unified",,,,"Milpitas Unified",,"Yes","$318","Monthly","Parc Place HOA","0.0121",,"Square Feet",,"Tax","528.00",,,,,,,,"CA",,"2005","95035"
"ME221041160","39","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/6a3fccb4-c0e4-46e5-b864-5776a3b767ae.jpg?preset=thumb",,"A","2658 Rio Bravo Circle","$349,000","0","2,518","Sacramento","RE","0","Townhouse","$245.95","0","0",,,,,"Other Area","10826","3",,,,,,,,,"Sacramento","0","0",,"34",,,"1",,,,"Yes","$279","Monthly","College Greens East Townhome HOA, Colleg","0.0578","2,518.00","Square Feet","2,518.00","Tax",,"0",,,,,,"245.95","CA",,"1978","95826"
"ME221038556","36","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/27/020b1199-3714-4df9-a8e6-ed2b0f3d8ece.jpg?preset=thumb",,"A","5685 Spyglass Lane","$284,900","0","1,755","Citrus Heights","RE","0","Townhouse","$258.76","0","0",,,,,"Citrus Heights - 10610","10610","3",,,,,,,,,"Sacramento","0","0",,"34","San Juan Unified",,"1",,"San Juan Unified",,"Yes","$310","Monthly",,"0.0403","1,755.00","Square Feet","1,755.00","Tax",,"0",,,,,,"258.76","CA",,"1974","95610"
"CC40947813","40","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947813/0/120/90/f62d384e3ac98a3adf726cbdf601224b/1/6b9d0ffac298abd05ba38926498761f7/40947813.JPG","https://player.vimeo.com/external/542714857.hd.mp4?s=82afea08585996f88f80e3d173ab8e149d7021aa&profile_id=174","A","121 El Paseo Circle","$999,000","0","0","Walnut Creek","RE","10","Townhouse","$451.22",,,,,,,"Walnut Creek","4900","4",,,,,,,"No",,"Contra Costa","0",,,"7",,,"2",,,,"Yes","$340","Monthly","BAY AREA PROP SERVICES","0.0000","0.00","Square Feet","0.00",,,,"65",,,,,,"CA",,"2011","94597"
"CC40947840","0","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947840/0/120/90/585cb8743390806ba57a7ec3726824e0/1/b41d218ed4e8fde26175123de709dad7/40947840.JPG","https://drive.google.com/file/d/1HB0CfaDMj3PTFiBuXM5XLlACOXRJXJnn/view","A","1823 Wildbrook Ct B","$545,000","0","1,564","Concord","RE","50","Townhouse","$371.25",,,,,,,"Concord","5701","3",,,,,,,"No",,"Contra Costa","0",,,"7",,,"1",,,,"Yes","$418","Monthly","OAK GLEN HOA","0.0400","1,564.00","Square Feet","1,564.00",,,,"63",,,,,,"CA",,"1971","94521"
"BE40947809","11","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947809/0/120/90/8f1be631438afb020a213888ae866d4c/1/c43254ad4150066ab0000b8f2c5b7f92/40947809.JPG",,"A","3327 Cook Lane","$900,000","0","1,694","Alameda","RE","51","Townhouse","$520.23",,,,,,,"Alameda Map Area 6","2906","4",,,,,,,"Yes",,"Alameda","1",,,"1",,,"1",,,,"Yes","$425","Monthly",,"0.0400","1,694.00","Square Feet","1,694.00",,,,"438",,,,,,"CA",,"1970","94502"
"BE40947713","39","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947713/0/120/90/8c3fc8e7454e56bbd8a9f58e0e99120f/1/398365c79750854109b6d1f9a9470829/40947713.JPG","https://tour.jacoballenmedia.com/tours/f0o4xb?mls","A","4220 Siena Ct","$1,179,000","1","2,280","San Jose","RE","21","Townhouse","$627.80",,,,,,,"Santa Clara County",,"4",,,,,,,"Yes",,"Santa Clara","1",,,"43",,,"0",,,,"Yes","$225","Monthly",,"0.0500","2,280.00","Square Feet","2,280.00",,,,"80",,,,,,"CA",,"2000","95135"
"BE40947588","35","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947588/0/120/90/c243059e6ca6217547e0ff1c8678808a/1/16458b108eef952f055905ce6822b154/40947588.JPG",,"A","2028 Trento Loop","$1,050,000","1","436","Milpitas","RE","6","Townhouse","$594.23",,,,,,,"Santa Clara County",,"3",,,,,,,"No",,"Santa Clara","0",,,"43",,,,,,,"Yes","$329","Monthly","CALL LISTING AGENT","0.0100","436.00","Square Feet","436.00",,,,"1",,,,,,"CA",,"2015","95035"
"TM21-724538","29","https://mediaservice.themls.com/large/21-724538/21-724538_f7bd5fcd-93e2-4f73-ad95-85fd34327740.jpg?preset=thumb","https://www.dropbox.com/s/h9yf2r1oeh4sxk8/MLS%20VIDEO%20TOUR%20310%20WASHINGTON%20BLVD%20407.mov?dl=0","A","310 Washington Boulevard 407","$1,595,000","1","8,806","Marina Del Rey","RE",,"Townhouse",,,"0",,,,,"Other Area",,"4",,,,,,,,,,"1",,,"19",,,"0",,,,"Yes",,"Monthly",,"0.2022",,,,,,,"50",,,,,,"CA",,"2012","90292"
"EB40947767","34","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947767/0/120/90/74df794ee858ef837f436a6f89248649/1/cb512ac74e2204b7f44e72cf63fd26ef/40947767.JPG",,"A","11 Wildwood Pl","$719,000","1","1,610","El Cerrito","RE","49","Townhouse","$499.65",,,,,,,"El Cerrito","1800","3",,,,,,,"Yes",,"Contra Costa","1",,,"7",,,"1",,,,"Yes","$475","Monthly","WILDWOOD PLACE ASSOC.","0.0400","1,610.00","Square Feet","1,610.00",,,,"42",,,,,,"CA",,"1972","94530"
"ML81840494","37","https://mlslmedia.azureedge.net/property/MLSL/81840494/3fc5d9502f6e49bc952eff61d0c7cee0/2/1?preset=thumb",,"A","16 Deer Run Circle","$729,999","1","1,513","San Jose","RE","33","Townhouse","$610.37",,,,,,,"Blossom Valley - SCC","12","2",,,,,,"Yes","Yes",,"Santa Clara","1",,,"43","Oak Grove Elementary",,"1",,"East Side Union High",,"Yes","$322","Monthly","Deer Run II HOA","0.0347",,"Square Feet",,"Tax","1,513.00",,,,,,,,"CA",,"1988","95136"
"CRPTP2102899","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","1451 Manzana Way","$420,000","1","0","San Diego","RE","35","Townhouse",,,,,,,,"Other Area",,"2",,,,,,,,,"San Diego","1",,,"37",,,,,"San Diego Unified",,"Yes","$297","Monthly","Paul Miller","0.0000",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1986","92139"
"CC40947732","36","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947732/0/120/90/a76b9a650e2fc2b38650b9b12f525c01/1/5d186e4a13862b201d14b9defb37fd0f/40947732.JPG",,"A","2224 Oneida Cir","$1,188,000","1","2,550","Danville","RE","37","Townhouse","$577.26",,,,,,,"Danville","4500","3",,,,,,,"No",,"Contra Costa","1",,,"7",,,"0",,,,"Yes","$385","Monthly","CROW CANYON HEIGHTS","0.0600","2,550.00","Square Feet","2,550.00",,,,"116",,,,,,"CA",,"1984","94526"
"ML81841454","60","https://mlslmedia.azureedge.net/property/MLSL/81841454/fd420042705145748503e473d627ad25/2/1?preset=thumb","https://my.matterport.com/show/?m=17Kf1TXN1kg","A","801 Intrepid Lane","$1,648,000","1","514,279","Redwood City","RE","32","Townhouse","$915.56",,,,,,,"Lighthouse Cove Etc.","378","3",,,,,,,,,"San Mateo","1",,,"41","Belmont-Redwood Shores Elementary","Sandpiper Elementary",,"Carlmont High","Sequoia Union High",,"Yes","$495","Monthly","Regatta HOA","11.8062",,"Square Feet",,"Tax","514,279.00",,,"Ralston Intermediate",,,,,"CA",,"1989","94065"
"ML81841308","48","https://mlslmedia.azureedge.net/property/MLSL/81841308/e48ed78bce5e462cb254a5f6201bea3e/2/1?preset=thumb",,"A","353 Charles Morris Terrace","$1,649,000","1","891","Sunnyvale","RE","5","Townhouse","$853.52",,,,,,,"Sunnyvale","19","3",,,,,,"Yes",,,"Santa Clara","0",,,"43","Sunnyvale",,"1",,"Fremont Union High",,"Yes","$360","Monthly","First Equity Property Management","0.0205",,"Square Feet",,"Tax","891.00",,,,,,,,"CA",,"2016","94085"
"ML81840853","4","https://mlslmedia.azureedge.net/property/MLSL/81840853/16b08c7737554f12a323b9f316802c58/2/1?preset=thumb",,"A","8 Bud Court","$579,000","1","524","Pleasant Hill","RE","39","Townhouse","$460.25",,,,,,,"Contra Costa County","28","2",,,,,,,,,"Contra Costa","0",,,"7","Mt. Diablo Unified",,"1",,"Mt. Diablo Unified",,"Yes","$423","Monthly","Community Association Management","0.0120",,"Square Feet",,"Tax","524.00",,,,,,,,"CA",,"1982","94523"
"ML81839773","21","https://mlslmedia.azureedge.net/property/MLSL/81839773/2cafb7dcb7ff487db13722c65a96e8b6/2/1?preset=thumb","https://www.tourfactory.com/2864100","A","17425 E Vineland Avenue","$1,499,000","1","1,255","Los Gatos","RE","35","Townhouse","$734.80",,,,,,,"Los Gatos/Monte Sereno","16","3",,,,,,"Yes","No",,"Santa Clara","0",,,"43","Los Gatos Union Elementary","Daves Avenue Elementary","1","Los Gatos High","Los Gatos-Saratoga Joint Union High",,"Yes","$400",,"Vineland HOA","0.0288",,"Square Feet",,"Tax","1,255.00",,,"Raymond J. Fisher Middle",,,,,"CA",,"1986","95030"
"ML81841345","41","https://mlslmedia.azureedge.net/property/MLSL/81841345/a1e40c50d59f456ea46f3af683016f9c/2/1?preset=thumb","https://350SWillardAve39639.f8re.com/","A","350 S Willard Avenue","$699,000","1","736","San Jose","RE","36","Townhouse","$682.62",,,,,,,"Central San Jose","9","2",,,,,,"Yes","Yes",,"Santa Clara","0",,,"43","San Jose Unified",,"1",,"San Jose Unified",,"Yes","$246","Monthly","Willard Ave HOA","0.0169",,"Square Feet",,"Tax","736.00",,,,,,,,"CA",,"1985","95126"
"ML81841303","50","https://mlslmedia.azureedge.net/property/MLSL/81841303/937c6d198c314a80beccf672153ccfb3/2/1?preset=thumb",,"A","420 Ives Terrace","$1,798,000","1","2,739","Sunnyvale","RE","40","Townhouse","$764.13",,,,,,,"Sunnyvale","19","3",,,,,,,,,"Santa Clara","0",,,"43","Sunnyvale",,"1",,"Fremont Union High",,"Yes","$588","Monthly","Stratford Gardens","0.0629",,"Square Feet",,"Tax","2,739.00",,,,,,,,"CA",,"1981","94087"
"ML81840930","44","https://mlslmedia.azureedge.net/property/MLSL/81840930/baae3865e28240d6bb4e0aa040e821b4/2/1?preset=thumb","5940ViaLugano.com","A","5940 Via Lugano","$1,260,000","1","24,727","Fremont","RE","9","Townhouse","$639.92",,,,,,,"Other Area","3700","4",,,,,,,,,"Alameda","0",,,"1","Fremont Unified",,"1","American High","Fremont Unified",,"Yes","$245","Monthly","Villa D'Este Community","0.5677",,"Square Feet",,"Tax","24,727.00",,,,,,,,"CA",,"2012","94555"
"ML81841406","40","https://mlslmedia.azureedge.net/property/MLSL/81841406/5978a34346b64aa9935dc65412219611/2/1?preset=thumb",,"A","2364 Warfield Way A","$510,000","1","1,093","San Jose","RE","42","Townhouse","$576.27",,,,,,,"South San Jose","11","2",,,,,,"Yes","Yes",,"Santa Clara","1",,,"43","Franklin-McKinley Elementary","Stonegate Elementary",,"Yerba Buena High","East Side Union High",,"Yes","$324","Monthly","Coyote Creek Homeowners Association","0.0251",,"Square Feet",,"Other",,,,,,,,,"CA",,"1979","95122"
"ML81841343","37","https://mlslmedia.azureedge.net/property/MLSL/81841343/baf0313024c74194a50c67de8c533628/2/1?preset=thumb","https://tours.victorlinphoto.com/1824564","A","621 Marathon Drive","$638,000","1","1,099","Campbell","RE","43","Townhouse","$669.46",,,,,,,"Campbell","15","2",,,,,,"Yes",,,"Santa Clara","0",,,"43","Moreland Elementary","George C. Payne Elementary","1","Prospect High","Campbell Union High",,"Yes","$480","Monthly","Marathon Drive HOA","0.0252",,"Square Feet",,"Tax","1,099.00",,,"Moreland Middle",,,,,"CA",,"1978","95008"
"SF421541106","30","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/29/836349e8-c056-4721-b42c-6206fd267025.jpg?preset=thumb",,"A","690 Fargo Avenue 3","$475,000","1","0","San Leandro","RE","0","Townhouse","$465.69","0","0",,,,,"San Leandro","3100","2",,,,,,,,,"Alameda","1","0",,"1",,,"1",,,,"Yes","$380","Monthly","The Willows Fargo Condominium Associatio",,"0.00","Square Feet","0.00",,,"0",,,,,,"465.69","CA",,"0","94579"
"SF421543422","28","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/29/afea7ad3-d010-4fd3-bc68-3bbbcf0d4bc8.jpg?preset=thumb","http://www.356fst.com/","A","356 F Street","$898,888","1","674","Colma","RE","0","Townhouse","$608.59","0","0",,,,,"Colma","670","2",,,,,,,,,"San Mateo","0","0",,"41",,,"1",,,,"Yes","$320","Monthly","La Scala","0.0155","674.00","Square Feet","674.00","Tax",,"0",,,,,,"608.59","CA",,"2017","94014"
"TM21-723516","18","https://mediaservice.themls.com/large/21-723516/21-723516_ba619da7-7d7c-4d5b-b29f-02631e91d533.jpg?preset=thumb",,"A","4371 Troost Avenue","$1,199,000","1","9,300","Studio City","RE",,"Townhouse",,,"1",,,,,"Other Area",,"2",,,,,,,,,,"0",,,"19",,,"0",,,,"Yes",,"Monthly",,"0.2135",,,,,,,"4",,,,,,"CA",,"2000","91604"
"TM21-721720","24","https://mediaservice.themls.com/large/21-721720/21-721720_ae3685f4-6559-4ac3-bb27-2d768460d0c5.jpg?preset=thumb",,"A","1466 Palisades Drive","$1,125,000","1","221,555","Pacific Palisades","RE",,"Townhouse",,,"1",,,,,"Other Area",,"2",,,,,,,,,,"1",,,"19",,,"1",,,,"Yes",,"Monthly",,"5.0862",,,,,,,"60",,,,,,"CA",,"1983","90272"
"ML81841326","5","https://mlslmedia.azureedge.net/property/MLSL/81841326/990b0d69e32e41e7b195c6cd66cddd0a/2/1?preset=thumb",,"A","721 Linden Avenue","$2,395,000","1","7,405","Burlingame","RE","0","Townhouse","$1,067.77",,,,,,,"Burlingame Gardens Etc.","464","4",,,,,,"Yes","No",,"San Mateo","0",,,"41","Burlingame Elementary",,,,"San Mateo Union High",,"Yes","$391","Monthly","719-721 HOA","0.1700",,"Square Feet",,"Other",,"2",,,,,,,"CA",,"2021","94010"
"ME221042698","38","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/7d202aaf-7bee-4b07-a95e-8fbe9f586330.jpg?preset=thumb","https://my.matterport.com/show/?m=effzX1n8AyX&mls=1","A","2008 5th Street 15","$535,000","1","2,178","Sacramento","RE","0","Townhouse","$379.43","0","0",,,,,"Sacramento Midtown","10811","4",,,,,,,,,"Sacramento","1","0",,"34",,,"0",,,,"Yes","$600","Monthly","SOUTHSIDE PARK VILLAGE","0.0500","2,178.00","Square Feet","2,178.00","Tax",,"0",,,,,,"379.43","CA",,"1993","95818"
"ML81841281","34","https://mlslmedia.azureedge.net/property/MLSL/81841281/9c20bea1275f4665912c900ce0718bda/2/1?preset=thumb","https://briananddan.com/property-listing/399-mullinix-way-san-jose-ca-95136/","A","399 Mullinix Way","$1,099,000","1","7,109","San Jose","RE","19","Townhouse","$523.58",,,,,,,"South San Jose","11","3",,,,,,,"Yes",,"Santa Clara","1",,,"43","Franklin-McKinley Elementary","George Shirakawa Elementary","1","Andrew P. Hill High","East Side Union High",,"Yes","$248",,"Tuscany Hills Homeowners Association","0.1632",,"Square Feet",,"Tax","7,109.00",,,"Sylvandale Junior High",,,,,"CA",,"2002","95136"
"CNSR21090835","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","27904 Cherry Blossom Place","$615,000","1","32,282","Valencia","RE","21","Townhouse",,,,,,,,"VALC - Valencia Copperhill","32585","3",,,,,,,,,"Los Angeles","0",,,"19",,,,,,,"Yes","$325","Monthly","Cornerstone","0.7411",,"Square Feet",,"Tax",,,,,,,,,"CA",,"2000","91354"
"EB40947650","12","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947650/0/120/90/5b89612cb98c6307587192bf2d211f2b/1/a3907a02edb9a42ac667dcda2411fab0/40947650.JPG",,"A","1303 Esmond Ave","$499,000","1","596","Richmond","RE","14","Townhouse","$449.95",,,,,,,"Other Area","1705","3",,,,,,,"Yes",,"Contra Costa","0",,,"7",,,"1",,,,"Yes","$220","Monthly","UNKNOWN","0.0100","596.00","Square Feet","596.00",,,,"8",,,,,,"CA",,"2007","94801"
"EB40947702","36","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947702/0/120/90/87f2c89f799c4d0f2e6f89b8eddd6663/1/f1b6f0dee67a9c3f4a4a1a05fed63735/40947702.JPG","http://www.2402maritimeway.com/?mls=","A","2402 Maritime Way","$735,000","1","2,125","Richmond","RE","13","Townhouse","$429.32",,,,,,,"Other Area","1707","3",,,,,,,"Yes",,"Contra Costa","0",,,"7",,,"1",,,,"Yes","$284","Monthly","NOT LISTED","0.0500","2,125.00","Square Feet","2,125.00",,,,"207",,,,,,"CA",,"2008","94804"
"CRP1-4478","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","2753 Waverly Drive 302","$839,000","1",,"Los Angeles","RE","6","Townhouse",,"0","1",,,,,"671 - Silver Lake","30644","2",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,,,"Yes","$325","Monthly","Latitudes at Silverlake",,,,,,,,,,,,,,"CA",,"2015","90039"
"CRP1-4470","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","10030 Owensmouth Avenue 58","$590,000","1",,"Chatsworth","RE","42","Townhouse",,"0","0",,,,,"CHT - Chatsworth","30394","3",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,,,"Yes","$340","Monthly","Tierra Verde",,,,,,,,,,,,,,"CA",,"1979","91311"
"CNSR21090947","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","19550 Roscoe Boulevard C","$479,500","1","106,783","Northridge","RE","40","Townhouse",,,,,,,,"NR - Northridge","31709","3",,,,,,,,,"Los Angeles","1",,,"19",,,"1",,"Los Angeles Unified",,"Yes",,"Monthly","Northwood Villas","2.4514",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1981","91324"
"CNSR21090853","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","15555 Nordhoff Street 3A","$399,900","1","17,142","North Hills","RE","40","Townhouse",,,,,,,,"NOH - North Hills","31698","3",,,,,,,,,"Los Angeles","1",,,"19",,,,,"Los Angeles Unified",,"Yes","$275","Monthly","LBPM","0.3935",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1981","91343"
"CROC21091007","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","26701 Quail 140","$399,900","1",,"Laguna Hills","RE","41","Townhouse",,,,,,,,"S2 - Laguna Hills","31176","1",,,,,,,,,"Orange","1",,,"30",,,,,"Saddleback Valley Unified",,"Yes",,"Monthly","Quail Creek",,,,,,,,,,,,,,"CA",,"1980","92656"
