"MLS #","#Pics","Pics","VirTr","Status","Address","Price","DOM","Lot (SqFt)","City","Class","Age","Property Type","$/SqFt","1/4 Baths","3/4 Baths","Address 2","Annual Rent","Annual Salary","Annual Tax Amount","Area","Area #","Beds","Building Name","Building Number","Building Unit Total","Capitalization Rate","Cash To Assume","City Limits (Y/N)","City Transfer Tax?","Country","County","Days On Market","Current Rent","Date Available","County ID","Elementary School District","Elementary School","Half Baths","High School","High School District","HOA Document Fee","HOA Exist Y/N","HOA Fee","HOA Fee Frequency","HOA Name Text","Lot Acres","Lot Size Area Max Search","Lot Size Area Maximum Units","Lot Size Area Min Search","Lot Size Source","LotSize SqFt County","Max # of Units in Building","Max # of Units in Complex","Middle School","PriceRangeLow","Rent List Price","Sale Price","Sale Price Per SqFt","State","Yard SqFt","Year Built","Zip Code"
"ML81841500","33","https://mlslmedia.azureedge.net/property/MLSL/81841500/a12dbcbb2793435b9711c215113b618e/2/1?preset=thumb","https://vimeo.com/542413139","A","978 Kiely Boulevard I","$595,000","0",,"Santa Clara","RE","50","Condominium","$622.38",,,,,,,"Santa Clara","8","2",,,,,,,,,"Santa Clara","1",,,"43","Santa Clara Unified",,,"Santa Clara High","Santa Clara Unified",,"Yes","$502","Monthly","Woodsborough HOA",,,,,"Tax",,,,"Juan Cabrillo Middle",,,,,"CA",,"1971","95051"
"ML81841482","34","https://mlslmedia.azureedge.net/property/MLSL/81841482/3df7480377744e3ab08161fe01226a37/2/1?preset=thumb","https://vimeo.com/543242933","A","670 San Antonio Road 28","$1,598,000","0","1,176","Palo Alto","RE","42","Condominium","$1,156.30",,,,,,,"South Palo Alto","233","3",,,,,,"Yes","Yes",,"Santa Clara","1",,,"43","Mountain View Whisman","Monta Loma Elementary","1","Los Altos High","Mountain View-Los Altos Union High",,"Yes","$460","Monthly","San Antonio Village HOA","0.0270",,"Square Feet",,"Other",,,,"Crittenden Middle",,,,,"CA",,"1979","94306"
"ME221040960","44","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/62008246-823b-44cc-bacf-73e31d4f3519.jpg?preset=thumb",,"A","949 Marvin Gardens Way 25","$445,000","0","910","Rocklin","RE","0","Condominium","$268.40","0","0",,,,,"Rocklin-West zip 95765","12765","3",,,,,,,,,"Placer","0","0",,"31","Rocklin Unified",,"1",,"Rocklin Unified",,"Yes","$310","Monthly","AMC, Inc. - Rocklin Park Place Assoc.","0.0209","910.00","Square Feet","910.00","Tax",,"0",,,,,,"268.40","CA",,"2001","95765"
"BA321031506","20","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/29/45295aa0-dea6-4a37-a957-caa100be41dc.jpg?preset=thumb",,"A","7111 Camino Colegio","$359,000","0","588","Rohnert Park","RE","0","Condominium","$274.89","0","0",,,,,"Cotati/Rohnert Park","25125","3",,,,,,,,,"Sonoma","0","0",,"49",,,"1",,,,"Yes","$370","Monthly","Sunrise Terrace Focus R/E","0.0135","588.00","Square Feet","588.00","Tax",,"0",,,,,,"274.89","CA",,"1980","94928"
"EB40947847","0","//cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40947847/0/120/90/ff83fa3788c2d3de9423dfabd96fec61/1/b44d10e3d7bc5e69e4815272ac881eba/40947847.JPG",,"A","5 Commodore Dr B412","$528,000","0","0","Emeryville","RE","48","Condominium","$597.96",,,,,,,"Emeryville","2500","1",,,,,,,"Yes",,"Alameda","0",,,"1",,,"0",,,,"Yes","$509","Monthly","WCA","0.0000","0.00","Square Feet","0.00",,,,"1,249",,,,,,"CA",,"1973","94608"
"CRSW21091527","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","4224 Kingsbury Place","$329,900","0","19,166","Riverside","RE","45","Condominium",,,,,,,,"Other Area","30316","3",,,,,,,,,"Riverside","0",,,"33",,,,,"Riverside Unified",,"Yes","$146","Monthly","Loving homes greens","0.4400",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1976","92503"
"TM21-725698","14","https://mediaservice.themls.com/large/21-725698/21-725698_d0724a30-3264-47f4-9694-dbbf51c61ba7.jpg?preset=thumb",,"A","550 Villa Court 214","$175,000","1","436","Palm Springs","RE",,"Condominium",,,"0",,,,,"Other Area",,"1",,,,,,,,,,"1",,,"33",,,"0",,,,"Yes",,"Monthly",,"0.0100",,,,,,,"318",,,,,,"CA",,"1981","92262"
"CRSB21086832","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","22916 Nadine Circle","$560,000","1",,"Torrance","RE","58","Condominium",,,,,,,,"127 - South East Torrance - West","32516","2",,,,,,,,,"Los Angeles","0",,,"19",,,"1",,"Torrance Unified",,"Yes","$430","Monthly","New Horizons Association South Bay",,,,,,,,,,,,,,"CA",,"1963","90505"
"ML81841273","25","https://mlslmedia.azureedge.net/property/MLSL/81841273/ad865ed13a264191896c1767b21b30fd/2/1?preset=thumb","https://www.cbhometour.com/4504-Waterville-Drive-San-Jose-CA-95118/index.html","A","4505 Waterville Drive","$498,888","1",,"San Jose","RE","36","Condominium","$647.07",,,,,,,"Cambrian","14","1",,,,,,,"Yes",,"Santa Clara","1",,,"43","San Jose Unified",,,,"San Jose Unified",,"Yes","$379",,"Robertsville Court",,,,,"Tax",,,,,,,,,"CA",,"1985","95118"
"CROC21082805","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","19 Anana 71","$649,900","1",,"Rancho Santa Margarita","RE","24","Condominium",,,,,,,,"R2 - Rancho Santa Margarita Central","32051","3",,,,,,,,,"Orange","1",,,"30",,,"1",,"Capistrano Unified",,"Yes","$235","Monthly","Bella Ventana",,,,,,,,,,,,,,"CA",,"1997","92688"
"TM21-725706","22","https://mediaservice.themls.com/large/21-725706/21-725706_1eaf2def-4cc7-4577-802b-5b661772680c.jpg?preset=thumb","https://my.matterport.com/show/?m=9HwK7QA2d4v&mls=1","A","416 Spring Street 810","$639,000","1","10,334","Los Angeles","RE",,"Condominium",,,"0",,,,,"Other Area",,"1",,,,,,,,,,"1",,,"19",,,"0",,,,"Yes",,"Monthly",,"0.2372",,,,,,,"65",,,,,,"CA",,"1914","90013"
"CRSB21091340","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","4633 Marine Avenue 261","$385,000","1","79,734","Lawndale","RE","48","Condominium",,,,,,,,"699 - Not Defined","30012","1",,,,,,,,,"Los Angeles","1",,,"19",,,,,,,"Yes","$249","Monthly","Picadilly Manor","1.8304",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1973","90260"
"TM21-712586","27","https://mediaservice.themls.com/large/21-712586/21-712586_c2a7986f-9fb0-4671-a080-fa5e3e59f5c7.jpg?preset=thumb","https://www.themls.com/properties/vt/CA/Los-Angeles/11633--Chenault-St-Unit--102/Residential-Condo-Co-op/21-712586","A","11633 Chenault Street 102","$1,159,500","1","9,717","Los Angeles","RE",,"Condominium",,,"0",,,,,"Other Area",,"2",,,,,,,,,,"1",,,"19",,,"1",,,,"Yes",,"Monthly",,"0.2231",,,,,,,"11",,,,,,"CA",,"2011","90049"
"CRCV21090730","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg","https://my.matterport.com/show/?m=mNvShMZihC7&mls=1","A","8660 Bay Laurel Street","$659,000","1","4,999","Chino","RE","2","Condominium",,,,,,,,"681 - Chino","30407","4",,,,,,,,,"San Bernardino","0",,,"36",,,,,"Chaffey Joint Union High",,"Yes",,"Monthly","Preserve Master","0.1148",,"Square Feet",,"Estimated",,,,,,,,,"CA",,"2019","91708"
"ML81841290","26","https://mlslmedia.azureedge.net/property/MLSL/81841290/f4beea9e67f24c13ae3e1b7f7160ccd5/2/1?preset=thumb",,"A","24 Washington Square Drive","$655,000","1",,"Milpitas","RE","31","Condominium","$711.18",,,,,,,"Milpitas","6","2",,,,,,"Yes",,,"Santa Clara","1",,,"43","Milpitas Unified","Marshall Pomeroy Elementary",,"Milpitas High","Milpitas Unified",,"Yes","$380","Monthly","Washington Square of Milpitas HOA",,,,,"Tax",,,,"Thomas Russell Junior High",,,,,"CA",,"1990","95035"
"ML81841383","25","https://mlslmedia.azureedge.net/property/MLSL/81841383/95054ea5b2bc42d888ce23dcf56af65c/2/1?preset=thumb","http://www.601arcadiater.com","A","601 Arcadia Terrace 305","$799,000","1",,"Sunnyvale","RE","27","Condominium","$688.79",,,,,,,"Sunnyvale","19","2",,,,,,,,,"Santa Clara","0",,,"43","Sunnyvale",,,,"Fremont Union High",,"Yes","$482",,"Compass HOA",,,,,"Tax",,,,,,,,,"CA",,"1994","94085"
"CROC21091454","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","113 Corsica Drive","$695,000","1",,"Newport Beach","RE","35","Condominium",,,,,,,,"NV - East Bluff - Harbor View","31679","2",,,,,,,,,"Orange","1",,,"30",,,,,,,"Yes","$420","Monthly","Newport North/Corsica Villas",,,,,,,,,,,,,,"CA",,"1986","92660"
"CRSB21087924","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg","https://youtu.be/osjx1NE7dG0","A","629 Traction Avenue 208","$519,000","1","91,244","Los Angeles","RE","14","Condominium",,,,,,,,"C42 - Downtown L.A.","31399","1",,,,,,,,,"Los Angeles","1",,,"19",,,,,"Los Angeles Unified",,"Yes",,"Monthly","Mura community Association","2.0947",,"Square Feet",,"Tax",,,,,,,,,"CA",,"2007","90013"
"CRPW21091189","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","521 S Lyon Street 115","$350,000","1",,"Other City","RE","57","Condominium",,,,,,,,"69 - Santa Ana South of First","32245","2",,,,,,,,,"Orange","1",,,"30",,,"1",,"Tustin Unified",,"Yes","$306","Monthly","saddleback Park Villas",,,,,,,,,,,,,,"CA",,"1964","92701"
"ML81841293","25","https://mlslmedia.azureedge.net/property/MLSL/81841293/a6fd82eb0879445baae708a4ec2f5f58/2/1?preset=thumb","https://www.tourfactory.com/2861695","A","777 San Antonio Road 109","$1,088,888","1",,"Palo Alto","RE","47","Condominium","$1,057.17",,,,,,,"South Palo Alto","233","2",,,,,,"Yes",,,"Santa Clara","2",,,"43","Palo Alto Unified","Fairmeadow Elementary",,"Henry M. Gunn High","Palo Alto Unified",,"Yes","$527","Monthly","Compass Management Group",,,,,"Tax",,,,"Jane Lathrop Stanford Middle",,,,,"CA",,"1974","94303"
"BA321027567","21","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/20/d04cf39a-5ff3-4310-9884-38189d9c08cf.jpg?preset=thumb",,"A","569 Curtin Lane 5","$368,000","1","436","Sonoma","RE","0","Condominium","$450.98","0","0",,,,,"Sonoma","25127","2",,,,,,,,,"Sonoma","0","0",,"49",,,"0",,,,"Yes","$400","Monthly","Cortina Place","0.0100","436.00","Square Feet","436.00","Tax",,"8",,,,,,"450.98","CA",,"1984","95476"
"SF421543437","33","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/29/3c698c4f-929d-47af-b8a6-963151aac945.jpg?preset=thumb","https://mirasf.com/marketing","A","280 Spear Street 37D","$5,900,000","1","47,916","San Francisco","RE","0","Condominium","$2,505.31","0","0",,,,,"South Beach","25209","3",,,,,,,,,"San Francisco","0","0",,"38",,,"0",,,,"Yes","$1,514","Monthly",,"1.1000","47,916.00","Square Feet","47,916.00","Other",,"392",,,,,,"2,505.31","CA",,"0","94105"
"CREV21090641","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","27821 N Peninsula Drive 307","$565,000","1","1,170","Lake Arrowhead","RE","50","Condominium",,,,,,,,"287A - Arrowhead Woods","30208","4",,,,,,,,,"San Bernardino","1",,,"36",,,,,,,"Yes","$533","Monthly","Meadow Bay North","0.0269",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1971","92352"
"BA321030523","21","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/28/52da8d84-8f23-4bb0-96e9-f55215c9fa79.jpg?preset=thumb",,"A","735 Buchanan Street 106","$395,000","1","0","Benicia","RE","0","Condominium","$408.06","0","0",,,,,"Benicia 3","25114","2",,,,,,,,,"Solano","0","0",,"48","Benicia Unified",,"0",,,,"Yes","$585","Monthly","Omni Community Management, LLC",,"0.00","Square Feet","0.00","Tax",,"42",,,,,,"408.06","CA",,"1990","94510"
"ME221042928","16","https://mediarem.metrolist.net/metrolist/listingpics/bigphoto/2021/04/29/01e93651-e002-476c-b88e-7646efe185b6.jpg?preset=thumb",,"A","351 Del Verde Circle 6","$209,900","1","0","Sacramento","RE","0","Condominium","$289.92","0","0",,,,,"No Sacto/Natomas/Del Paso Heights - 10833","10833","1",,,,,,,,,"Sacramento","1","0",,"34","Natomas Unified",,"0",,"Natomas Unified",,"Yes","$330","Monthly","Del Verde Square Owners Assn C/O AMC",,"0.00","Square Feet","0.00","Tax",,"0",,,,,,"289.92","CA",,"1982","95833"
"BA321024536","38","https://barimedia.rapmls.com/norcalmls/listingpics/bigphoto/2021/04/12/66f803bb-ef02-4636-a559-d8fa3b3efe84.jpg?preset=thumb","http://CloverdaleCondoLiving.com","A","190 Healdsburg Avenue D","$449,000","1","1,555","Cloverdale","RE","0","Condominium","$292.89","0","0",,,,,"Cloverdale","25129","3",,,,,,,,,"Sonoma","0","0",,"49",,,"1",,,,"Yes","$230","Monthly","Garden at Thyme Square","0.0357","1,555.00","Square Feet","1,555.00","Tax",,"0",,,,,,"292.89","CA",,"2007","95425"
"CRNP21089315","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg","https://ranchophotos.com/mls/577-rockefeller/","A","577 Rockefeller","$575,000","1",,"Irvine","RE","11","Condominium",,,,,,,,"AA - Airport Area","31028","1",,,,,,,,,"Orange","0",,,"30",,,"1",,"Santa Ana Unified",,"Yes","$230","Monthly","The Townes",,,,,,,,,,,,,,"CA",,"2010","92612"
"CRPW21091351","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","2033 E 3rd Street 2K","$499,999","1","16,608","Long Beach","RE","57","Condominium",,,,,,,,"4 - Downtown Area, Alamitos Beach","31341","2",,,,,,,,,"Los Angeles","1",,,"19",,,,,"Long Beach Unified",,"Yes","$345","Monthly","Bixby Royal HOA","0.3813",,"Square Feet",,"Tax",,,,,,,,,"CA",,"1964","90814"
"TM21-725254","21","https://mediaservice.themls.com/large/21-725254/21-725254_273a84b2-80dc-411a-8f95-578fb64682da.jpg?preset=thumb",,"A","970 Kingsley Drive 301","$749,000","1","23,622","Los Angeles","RE",,"Condominium",,,"0",,,,,"Other Area",,"2",,,,,,,,,,"0",,,"19",,,"0",,,,"Yes",,"Monthly",,"0.5423",,,,,,,"28",,,,,,"CA",,"1982","90006"
"SF421543544","67","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/29/b81582c2-3312-418f-8e0c-9c483acb7be4.jpg?preset=thumb","https://my.matterport.com/show/?brand=0&m=662Fj6E9khQ","A","1688 Pine Street W509","$949,000","1","35,482","San Francisco","RE","0","Condominium","$1,323.57","0","0",,,,,"Van Ness/Civic Cente","25200","1",,,,,,,,,"San Francisco","1","0",,"38",,,"0",,,,"Yes","$710","Monthly","Rockwell Owner's Association","0.8146","35,482.00","Square Feet","35,482.00","Tax",,"289",,,,,,"1,323.57","CA",,"2016","94109"
"CRIV21090074","0","//cdnparap60.paragonrels.com/ParagonImages/Static/120/90/9dadad49f9680cddc44df86663861ae0/NoPhotoAvailable.jpg",,"A","247 W Canada B","$1,345,000","1",,"San Clemente","RE","34","Condominium",,,,,,,,"SC - San Clemente Central","32181","3",,,,,,,,,"Orange","0",,,"30",,,"1",,"Capistrano Unified",,"No","$0",,,,,,,,,,,,,,,,"CA",,"1987","92672"
"SF421541561","33","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/23/001786d7-4684-44e1-8a32-b92036936213.jpg?preset=thumb","https://my.matterport.com/show/?m=Wc15NuNcTU8&hl=0","A","3802 16th Street","$1,695,000","1","2,579","San Francisco","RE","0","Condominium","$1,222.94","0","0",,,,,"Corona Heights","25180","3",,,,,,,,,"San Francisco","0","0",,"38",,,"0",,,,"Yes",,,"3800 - 3802 16th Street","0.0592","2,579.00","Square Feet","2,579.00","Tax",,"2",,,,,,"1,222.94","CA",,"1962","94114"
"SF421543255","42","https://sfarmedia.rapmls.com/sfarmls/listingpics/bigphoto/2021/04/28/153cc182-2753-4d39-b1cc-df46206792ea.jpg?preset=thumb",,"A","555 Golden Gate Avenue 2H","$919,000","1","0","San Francisco","RE","0","Condominium","$1,007.68","0","0",,,,,"Van Ness/Civic Cente","25200","2",,,,,,,,,"San Francisco","0","0",,"38",,,"0",,,,"Yes","$632","Monthly","Elevant Owners Association",,"0.00","Square Feet","0.00","Other",,"55",,,,,,"1,007.68","CA",,"2021","94102"
